Tweet ID,Entity,Sentiment,Tweet Content
14842,charlesgregory,Negative,@charlesgregory ahhhh... 
63036,markdudlik,Positive,"@markdudlik Dunno... I'm guessing the same as they prob won't have time to make some alternates. Good idea tho, maybe I'll make a couple "
60590,Netflix,Irrelevant,#bing translator has nothing to offer for thai stuffs 
68203,Kawaii_Jadee,Neutral,"@Kawaii_Jadee  http://tr.im/nIAi  This is what im looking at, first thing though, might find somethin else yet "
94894,FIFA,Irrelevant,i feel like i need to scream... things aren't the way they need to be...l 
10896,Amazon,Irrelevant,I guess that means it's time to wake up 
35076,lukemarsden,Neutral,@lukemarsden Thank you  hope you like the pics btw x
26942,Microsoft,Negative,I think I'm gonna cry 
88799,Facebook,Positive,"Holy shit, the car smells like pineapples and Corey said it was because the seat got wet?! "
10791,CzarBill,Irrelevant,@CzarBill I don't really have any extra to give. They cost me money 
28446,ikesonthereal,Positive,@ikesonthereal In the summer Imma hit Oxford street !! Been too long! You're welcome  How's the music going ?
56558,Facebook,Irrelevant,Why wont swine flu shutdown my school? 
84723,BusTheProducer,Irrelevant,@BusTheProducer yea no one was talking to me LOL  
15161,Microsoft,Neutral,Here's how you can help w/Project Souarna: http://imanforsouarna.chipin.com thanks to all who's been asking how to donate. YOU're awesome 
72367,Erock4real,Positive,Had fun times with @Erock4real this morning. Now we're all fed...sooo ready to put the kids to bed and chiiilllll! 
76788,silverust,Positive,"@silverust ohhh I'm a clown tho?  see u again soon, sober."
66745,Netflix,Neutral,just waking up in the morning gotta thank GOD! I dont know but today seems kinda odd! 
92624,softtouchme,Positive,@softtouchme I am doing really good!!!  I don't mean to interrupt your conversation I just wanted to say HI 
71278,izeek,Negative,@izeek did you eat my my last skillet sensations????????   
62224,Twitter,Negative,i can't believe i missed the aaron carter phone # craziness 
15356,Google,Neutral,finally chilling out with my girl christine  trying to fig out why ppl gotta act like high schoolers...idiots
87253,Facebook,Negative,gossip girl made me cry 
74676,Twitter,Negative,i have two holes in my body- one in my heart and the other in my leg  FIX ME PLEASE!!
68546,backstreetboys,Irrelevant,@backstreetboys Mexico miss you too!!!!! 
35249,Twitter,Negative,My dog just ate a whole banana she's gonna have major shits oh gosh...  egh
29277,Facebook,Positive,spy kids is on  thanks for the homemad pizza j9
51711,Facebook,Irrelevant,Installed the os 3.0 and now all of my apps that I put on my folders got erased. And my themes got erased too 
68960,MIDNITEMELODY,Neutral,@MIDNITEMELODY Thanks! 
30481,MaddenNFL,Neutral,about to hop in the showeer! been busy todaay! Cali tomorrow! Got some shows! Make sure to check out the new video on youtube! 
93147,Dejasmom,Positive,"@Dejasmom Oh don't worry, Deeds. I won't be anyone's wifey anytime soon. I'm letting it be known the skills a sister has "
73229,deliccate,Neutral,@deliccate I might watch it at lunch time. 
51292,ClaudeKelly,Neutral,@ClaudeKelly means ur working a lot ;) I'm the same way 
91799,PerlaFHudson,Neutral,"@PerlaFHudson When will Slash's album be out? Soooo looking forwards to that!! Really, I cannot wait! It's gonna be soo sick!xx  hi to all"
56882,Apple,Neutral,Listening to La Roux Songs 
50023,Amazon,Irrelevant,Beautiful day outside and I'm stuck doing my expenses  http://myloc.me/2lUw
63113,CS-GO,Positive,"http://twitpic.com/3n98j - iPass'er in action. Our WiFi may work over at 109,000+ hotspots but not off a side of this cliff "
70366,CS-GO,Negative,It's fucking 2:36 in the A.M. &amp; I can't sleep. &amp; now I'm sad for various reasons. 
27074,Apple,Irrelevant,"Gonna study downstairs with no internet, tv or music today. Was just abt to turn on the tv lol. 8 hrs to go! Until sleep "
44021,Microsoft,Irrelevant,Omg xiner's going to kill me and i think my eyeliner is uneven  - http://tweet.sg
77558,MaddenNFL,Positive,'you do do alot for me low key. i guess thats why i dont get upset when you complain over everything' lol .... 
67204,Twitter,Positive,"Happy Monday everyone. Whatever you have to do today, just smile  and do it. This is YOUR day | http://ow.ly/ajWv | http://ow.ly/ajWy |"
36349,CS-GO,Negative,starting the 3 hours of dreaded admin ready for the next week 
8833,Microsoft,Positive,"Listening to 'Ulysses' by Franz Ferdinand. Got an Enya CD today, so I'm so happy "
81874,Fred0828,Neutral,@Fred0828 yeah 16kg is around 40lbs  Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training
12938,joshtastic1,Negative,@joshtastic1 I didn't get one 
29133,Facebook,Neutral,Working on an out-of-the-world-sci-fi story. Surprising myself after every plot twist  
1320,Microsoft,Neutral,listening to the new kasabian album and it is pretty damn good 
95289,CS-GO,Neutral,"Mom's Mabley ex husband died. Friend said &quot;say something good about the dead.&quot; she said, &quot;he's dead...good.&quot; Cold blooded. "
92971,TamsynTweetie,Positive,@TamsynTweetie hope hospital went okay (after the meals on wheels knock) 
24183,tonyblackburn,Negative,@tonyblackburn You mean you can't dance like that Tony....you've blown all my illusions now 
61556,rashfeather,Negative,"@rashfeather   don't suppose I can help any, though.  Don't ever say I didn't try to help a cute girl out.  Oh wait, maybe that did?"
8304,GratianB,Positive,"@GratianB im great, it's finally vac here    , where will u go out? u guys finished school?"
75552,Apple,Irrelevant,Plans cancelled for tonight  i was pretty excited too
73125,Facebook,Positive,Beatles - I Am The Walrus. What more needs to be said?  ? http://blip.fm/~7cf88
17462,deepakravindran,Neutral,@deepakravindran Hey bro. We were on twitter and never talkd in here..  just met @hisaming and I re-discovered you 
77576,RobynsWorld,Negative,"@RobynsWorld I just had my fave restraunt ask me to do something for free that would have required alot of work, not even produxt "
22707,Facebook,Irrelevant,"this is getting stupid, where's my post...need to go tesco, i've ran out of squash "
14170,Google,Negative,Got my iphone and have to call Apple - just like the first one. Once they're activated; they're great.  
34275,jessdupreez,Irrelevant,@jessdupreez it was ok we lost 3-0 
52469,Apple,Positive,"Hi everyone, i will add some friends today Nice to meet you guys  Nice day "
47555,Brittanystarrj,Irrelevant,@Brittanystarrj oh yeaa.. Same thing here had them removed on thrsd 
6627,Microsoft,Neutral,"as in Drama Beats, like Rob Dyrdek's cousin  lol"
43451,11_26,Negative,@11_26 AH THIS IS IT FOR THEM 
1760,Google,Irrelevant,Where is the sunshine?? I'm tired of this rain and cloudy skies!! 
74884,plumlipstick,Negative,@plumlipstick Even more important is the meeting with the Copyright Office. I don't like it; not at all... 
35457,Microsoft,Negative,...have to go to my internship again now =((... oh man i have to do alot of aful ork these days 
40509,IGrowViolent,Neutral,@IGrowViolent did you appease me ? 
27039,Facebook,Negative,I have a headache and my internet isnt working! 
69917,Twitter,Positive,It's my birthday Monday.  My sister forgot about it yesterday. (via #zenjar )
62998,Twitter,Irrelevant,Cant get the ticket for Superjunior show concert 
29838,Amazon,Irrelevant,Goodbye lauren Conrad 
7814,cutiefy,Positive,@cutiefy yhep. she's heree.  haha!
24344,Amazon,Irrelevant,worked it out I think... that's pretty silly though 
93702,ijustine,Irrelevant,"@ijustine I can't wait to watch it, I have to wait a little while.. "
5213,stevenmarkorton,Neutral,"@stevenmarkorton hope yr nosey is ok  im in the bathroom yr in bed, I cud just come say this to you..."
45096,u2wanderer,Positive,@u2wanderer happy burfday mr 
85852,MaddenNFL,Negative,"Went and saw two bands last night (not metallica) and now I can't concentrate, just want to sleep "
98438,rockforpeace,Neutral,@rockforpeace lol you can still talk to me cause i can still text and get on the computer  luckily lol
7727,arnteriksen,Positive,@arnteriksen thanks for the fun #followfriday comment  I really like what you're doing with the blog posts...
86144,therealbebe,Negative,@therealbebe I'm up too.. 
39333,Amazon,Positive,perfect night in nj. 
99739,Twitter,Neutral,I am looking forward to AT&amp;T Uverse arriving today. 
73787,andrews_news,Irrelevant,"@andrews_news im sorry  @featheroflead after your fb comment about sex w/ almost all, i will def  heck them out lol"
11248,Facebook,Negative,i wish i had tickets for family fortunes tomorrow 
88210,Amazon,Negative,Why can Microsoft not generate proper HTML? I thought the days of FrontPage 98 were over! 
68529,AmalSyazwani,Irrelevant,@AmalSyazwani i shorry bebeh  it okeh ada one more chance.
43124,AubreyODay,Negative,@AubreyODay lollll. call me!  what that your hott
26286,Twitter,Positive,i have a feeling today is going to be amazing 
27537,311_Nick,Positive,@311_Nick Give Me a Call Part 2? 
3101,FIFA,Negative,my os 9 mac laptop just died! so sad- so many good times. so many great programs for my 3 year old - 10 years of effective service 
18692,ComputerArts,Negative,@ComputerArts  Your missing a lot of designers worth following 
38743,Izabe_Cause,Negative,@Izabe_Cause if i can get it sorted 
56737,croqzine,Positive,@croqzine snagged your zine.  Thanks and looking forward to it!
